DATUM;Situation;Beschreibung;Sozialform;Beobachtung ID;Skala;Kategorie;TM;X
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;SELBSTSTÄNDIGKEIT;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;SELBSTWIRKSAMKEIT;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;SICHERUNG;5;5
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;STRUKTUR_1;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;STRUKTUR_2;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;VERANSCHAULICHUNG;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;VERBINDEND;5;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;VORWISSEN;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;WIRKLICHKEIT;2;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;ZIEL;2;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;ÜBEN;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;DIFFERENZIERUNG_1;5;5
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;DIFFERENZIERUNG_2;2;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;DRAUßEN;4;4
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;ERFAHRUNG;4;4
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;GANZHEITLICH;3;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;HANDLUNG;4;4
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;KLIMA_1;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;KLIMA_2;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;KLIMA_3;2;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;KLIMA_4;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;KLIMA_5;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;KOMMUNIKATION_1;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;KOMMUNIKATION_2;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;KOMMUNIKATION_3;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;KOMPETENZ_1;2;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;KOMPETENZ_2;3;3
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;KOOPERATIV;2;5
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;LEISTUNG;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;LERNERO.;5;4
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;LERNORT_1;2;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;LERNORT_2;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;LERNORT_3;4;4
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;LERNZEIT_1;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;LERNZEIT_2;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;METHODEN;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;MOTIVIERUNG;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;PARTIZIPATION;2;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;PROZESS;2;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;SELBSTSTÄNDIGKEIT;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;SELBSTWIRKSAMKEIT;2;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;SICHERUNG;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;STRUKTUR_1;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;STRUKTUR_2;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;VERANSCHAULICHUNG;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;VERBINDEND;5;5
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;VORWISSEN;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;WIRKLICHKEIT;2;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;ZIEL;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.0;5;ÜBEN;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;DIFFERENZIERUNG_1;4;4
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;DIFFERENZIERUNG_2;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;DRAUßEN;4;4
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;ERFAHRUNG;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;GANZHEITLICH;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;HANDLUNG;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;KLIMA_1;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;KLIMA_2;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;KLIMA_3;5;5
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;KLIMA_4;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;KLIMA_5;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;KOMMUNIKATION_1;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;KOMMUNIKATION_2;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;KOMMUNIKATION_3;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;KOMPETENZ_1;3;3
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;KOMPETENZ_2;5;5
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;KOOPERATIV;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;LEISTUNG;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;LERNERO.;5;5
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;LERNORT_1;2;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;LERNORT_2;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;LERNORT_3;4;4
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;LERNZEIT_1;1;3
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;LERNZEIT_2;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;METHODEN;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;MOTIVIERUNG;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;PARTIZIPATION;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;PROZESS;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;SELBSTSTÄNDIGKEIT;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;SELBSTWIRKSAMKEIT;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;SICHERUNG;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;STRUKTUR_1;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;STRUKTUR_2;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;VERANSCHAULICHUNG;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;VERBINDEND;5;5
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;VORWISSEN;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;WIRKLICHKEIT;2;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;ZIEL;2;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;P;V.3.2;5;ÜBEN;1;1
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;DIFFERENZIERUNG_1;4;5
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;DIFFERENZIERUNG_2;3;5
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;DRAUßEN;4;4
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;ERFAHRUNG;2;2
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;GANZHEITLICH;2;2
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;HANDLUNG;1;2
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;KLIMA_1;1;5
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;KLIMA_2;5;5
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;KLIMA_3;2;5
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;KLIMA_4;1;1
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;KLIMA_5;1;1
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;KOMMUNIKATION_1;1;1
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;KOMMUNIKATION_2;3;3
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;KOMMUNIKATION_3;2;1
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;KOMPETENZ_1;4;4
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;KOMPETENZ_2;3;2
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;KOOPERATIV;1;1
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;LEISTUNG;1;1
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;LERNERO.;2;2
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;LERNORT_1;1;1
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;LERNORT_2;1;1
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;LERNORT_3;4;4
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;LERNZEIT_1;1;5
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;LERNZEIT_2;1;1
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;METHODEN;1;1
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;MOTIVIERUNG;1;2
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;PARTIZIPATION;3;3
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;PROZESS;1;3
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;SELBSTSTÄNDIGKEIT;1;1
20.11.23;Video;Video 4 (5. Klasse) - Rakete;GA;v.4.1;5;SELBSTWIRKSAMKEIT;2;2
